Time(s) RTT(ms)
0.0 0.00184693
1.23457 1.67597 ms
1.23469 1.59148 ms
1.235 1.64254 ms
1.23534 1.68723 ms
1.23616 1.72632 ms
1.23621 1.76053 ms
1.23633 1.79046 ms
1.23664 1.69166 ms
1.237 1.6052 ms
1.23779 1.52955 ms
1.23784 1.46335 ms
1.23796 1.40543 ms
1.23827 1.47975 ms
1.23863 1.54478 ms
1.23943 1.60169 ms
1.23947 1.65147 ms
1.23959 1.69504 ms
1.23993 1.60816 ms
1.24029 1.65714 ms
1.24106 1.7 ms
1.24111 1.7375 ms
1.24123 1.77031 ms
1.24157 1.79902 ms
1.24193 1.69914 ms
1.24269 1.61175 ms
1.24274 1.53528 ms
1.24289 1.46837 ms
1.24322 1.53482 ms
1.24356 1.59297 ms
1.24435 1.64385 ms
1.2444 1.68837 ms
1.24452 1.72732 ms
1.24486 1.63641 ms
1.24519 1.68185 ms
1.24599 1.59662 ms
1.24604 1.64704 ms
1.24618 1.69116 ms
1.24649 1.72977 ms
1.24683 1.63855 ms
1.24765 1.68373 ms
1.24769 1.59826 ms
1.24781 1.52348 ms
1.24813 1.58304 ms
1.24846 1.63516 ms
1.24928 1.68077 ms
1.24933 1.72067 ms
1.24945 1.75559 ms
1.24976 1.66114 ms
1.2501 1.70349 ms
1.25091 1.61556 ms
1.25096 1.53861 ms
1.25108 1.59628 ms
1.25139 1.64675 ms
1.25176 1.56591 ms
1.25255 1.62017 ms
1.2526 1.66765 ms
1.25272 1.58419 ms
1.25303 1.63616 ms
1.25339 1.68164 ms
1.25418 1.72144 ms
1.25423 1.75626 ms
1.25435 1.78672 ms
1.25469 1.68838 ms
1.25505 1.72734 ms
1.25582 1.63642 ms
1.25586 1.55687 ms
1.25598 1.48726 ms
1.25632 1.55135 ms
1.25668 1.48243 ms
1.25745 1.54713 ms
1.2575 1.60373 ms
1.25764 1.65327 ms
1.25798 1.57161 ms
1.25832 1.62516 ms
1.25911 1.67201 ms
1.25916 1.71301 ms
1.25928 1.74888 ms
1.25961 1.78027 ms
1.25995 1.68274 ms
1.26074 1.59739 ms
1.26079 1.52272 ms
1.26094 1.45738 ms
1.26125 1.52521 ms
1.26158 1.58456 ms
1.2624 1.63649 ms
1.26245 1.68192 ms
1.26257 1.72168 ms
1.26288 1.63147 ms
1.26322 1.67754 ms
1.26404 1.71785 ms
1.26408 1.75311 ms
1.2642 1.78397 ms
1.26452 1.81098 ms
1.26485 1.7096 ms
1.26567 1.6209 ms
1.26572 1.54329 ms
1.26584 1.47538 ms
1.26615 1.54096 ms
1.26651 1.59834 ms
1.2673 1.64854 ms
1.26735 1.69247 ms
1.26747 1.73091 ms
1.26778 1.63955 ms
1.26814 1.68461 ms
1.26894 1.59903 ms
1.26899 1.52415 ms
1.26911 1.58363 ms
1.26945 1.63568 ms
1.2698 1.55622 ms
1.27057 1.61169 ms
1.27062 1.66023 ms
1.27074 1.5777 ms
1.27111 1.63049 ms
1.27144 1.67667 ms
1.27221 1.71709 ms
1.27225 1.75245 ms
1.2724 1.7834 ms
1.27278 1.68547 ms
1.27307 1.72479 ms
1.27386 1.63419 ms
1.27391 1.55491 ms
1.27403 1.61055 ms
1.27444 1.65923 ms
1.27471 1.57683 ms
1.2755 1.62972 ms
1.27555 1.67601 ms
1.27569 1.5915 ms
1.2761 1.64257 ms
1.27634 1.68724 ms
1.27716 1.72634 ms
1.27723 1.76055 ms
1.27735 1.79048 ms
1.27776 1.69167 ms
1.27797 1.60521 ms
1.2788 1.52956 ms
1.27886 1.46336 ms
1.27898 1.40544 ms
1.27939 1.47976 ms
1.27961 1.54479 ms
1.28045 1.60169 ms
1.28052 1.65148 ms
1.28064 1.69504 ms
1.28103 1.73316 ms
1.28127 1.76652 ms
1.28211 1.7957 ms
1.2822 1.82124 ms
1.28228 1.84358 ms
1.28268 1.73814 ms
1.2829 1.64587 ms
1.28374 1.56513 ms
1.28384 1.49449 ms
1.28391 1.43268 ms
1.28432 1.5036 ms
1.28456 1.56564 ms
1.28538 1.61994 ms
1.28547 1.66745 ms
1.28554 1.70901 ms
1.28598 1.62039 ms
1.28622 1.66784 ms
1.28701 1.70936 ms
1.28713 1.74569 ms
1.28718 1.77748 ms
1.28761 1.80529 ms
1.28785 1.70463 ms
1.28864 1.61655 ms
1.28876 1.53948 ms
1.28881 1.47205 ms
1.28924 1.53804 ms
1.28951 1.59579 ms
1.29028 1.64631 ms
1.29042 1.69052 ms
1.29047 1.72921 ms
1.29088 1.63806 ms
1.29116 1.6833 ms
1.29194 1.59788 ms
1.29206 1.64815 ms
1.2921 1.69213 ms
1.29251 1.73061 ms
1.29283 1.63929 ms
1.29357 1.68438 ms
1.29369 1.59883 ms
1.29374 1.52397 ms
1.29415 1.58348 ms
1.29448 1.63554 ms
1.2952 1.6811 ms
1.29533 1.72096 ms
1.29539 1.75584 ms
1.29578 1.66136 ms
1.29612 1.70369 ms
1.29686 1.61573 ms
1.29696 1.53876 ms
1.29702 1.59642 ms
1.29744 1.64686 ms
1.29778 1.56601 ms
1.2985 1.62026 ms
1.29859 1.66772 ms
1.29865 1.58426 ms
1.29907 1.63622 ms
1.29941 1.6817 ms
1.30013 1.72148 ms
1.30023 1.7563 ms
1.30029 1.78676 ms
1.30074 1.68841 ms
1.30104 1.72736 ms
1.30177 1.63644 ms
1.30189 1.55689 ms
1.30192 1.48727 ms
1.3024 1.55136 ms
1.30268 1.48244 ms
1.3034 1.54714 ms
1.30352 1.60374 ms
1.30356 1.65328 ms
1.30406 1.69662 ms
1.30431 1.73454 ms
1.30503 1.76772 ms
1.30518 1.79675 ms
1.3052 1.82216 ms
1.30572 1.71939 ms
1.30595 1.62947 ms
1.30668 1.55078 ms
1.30681 1.48193 ms
1.30684 1.42169 ms
1.30738 1.49398 ms
1.30761 1.55723 ms
1.30831 1.61258 ms
1.30846 1.661 ms
1.30849 1.70338 ms
1.30902 1.74046 ms
1.30924 1.7729 ms
1.30996 1.67629 ms
1.31013 1.71675 ms
1.31015 1.75216 ms
1.31068 1.65814 ms
1.31089 1.57587 ms
1.31162 1.62889 ms
1.31176 1.55027 ms
1.31181 1.48149 ms
1.31232 1.5463 ms
1.31256 1.60301 ms
1.31326 1.65264 ms
1.3134 1.69606 ms
1.31347 1.73405 ms
1.31397 1.64229 ms
1.31419 1.68701 ms
1.31494 1.60113 ms
1.31503 1.65099 ms
1.31513 1.69461 ms
1.31561 1.73279 ms
1.31582 1.64119 ms
1.31659 1.68604 ms
1.31667 1.60028 ms
1.31676 1.52525 ms
1.31724 1.58459 ms
1.31748 1.63652 ms
1.31823 1.68195 ms
1.3183 1.72171 ms
1.31842 1.75649 ms
1.31888 1.66193 ms
1.31912 1.70419 ms
1.31989 1.61617 ms
1.31996 1.53914 ms
1.32005 1.59675 ms
1.32051 1.64716 ms
1.32075 1.56626 ms
1.32152 1.62048 ms
1.32159 1.66792 ms
1.32169 1.58443 ms
1.32214 1.63638 ms
1.3224 1.68183 ms
1.32315 1.7216 ms
1.32323 1.7564 ms
1.32332 1.78685 ms
1.32378 1.68849 ms
1.32404 1.72743 ms
1.32479 1.6365 ms
1.32488 1.55694 ms
1.32496 1.48732 ms
1.32544 1.55141 ms
1.3257 1.48248 ms
1.32642 1.54717 ms
1.32652 1.60377 ms
1.32659 1.6533 ms
1.32707 1.69664 ms
1.32736 1.73456 ms
1.32806 1.76774 ms
1.32815 1.79677 ms
1.32822 1.82217 ms
1.32873 1.7194 ms
1.32902 1.75448 ms
1.32969 1.66016 ms
1.32979 1.57764 ms
1.32988 1.50544 ms
1.33036 1.56726 ms
1.33065 1.49635 ms
1.33135 1.55931 ms
1.33142 1.61439 ms
1.33152 1.66259 ms
1.33201 1.70477 ms
1.33229 1.74167 ms
1.33298 1.64896 ms
1.33306 1.69284 ms
1.33318 1.73124 ms
1.33367 1.63983 ms
1.33392 1.55985 ms
1.33464 1.61487 ms
1.33471 1.53801 ms
1.33481 1.47076 ms
1.33533 1.53691 ms
1.33555 1.5948 ms
1.33628 1.64545 ms
1.33635 1.68977 ms
1.33644 1.72855 ms
1.33698 1.63748 ms
1.33721 1.68279 ms
1.33791 1.59744 ms
1.33798 1.52276 ms
1.33808 1.58242 ms
1.33864 1.63461 ms
1.33885 1.55529 ms
1.33954 1.61088 ms
1.33964 1.65952 ms
1.33972 1.57708 ms
1.3403 1.62994 ms
1.34051 1.6762 ms
1.34118 1.71667 ms
1.34127 1.75209 ms
1.34137 1.78308 ms
1.34197 1.68519 ms
1.34214 1.72454 ms
1.34284 1.63397 ms
1.34291 1.55473 ms
1.34303 1.61039 ms
1.34361 1.65909 ms
1.34377 1.5767 ms
1.34448 1.62961 ms
1.34457 1.67591 ms
1.34469 1.59142 ms
1.34524 1.64249 ms
1.34541 1.68718 ms
1.34613 1.72628 ms
1.34622 1.7605 ms
1.34634 1.79044 ms
1.34687 1.69163 ms
1.34704 1.73018 ms
1.3478 1.6389 ms
1.34791 1.55904 ms
1.348 1.61416 ms
1.34851 1.66239 ms
1.34868 1.57959 ms
1.34947 1.63214 ms
1.34954 1.67812 ms
1.34966 1.59336 ms
1.35014 1.64419 ms
1.35031 1.68866 ms
1.35112 1.72758 ms
1.35118 1.76163 ms
1.3513 1.79143 ms
1.35178 1.6925 ms
1.35197 1.60594 ms
1.35276 1.53019 ms
1.35281 1.46392 ms
1.35293 1.40593 ms
1.35343 1.48019 ms
1.35361 1.54516 ms
1.3544 1.60202 ms
1.35444 1.65176 ms
1.35456 1.69529 ms
1.35507 1.73338 ms
1.35528 1.76671 ms
1.35603 1.79587 ms
1.35608 1.82139 ms
1.3562 1.84371 ms
1.35674 1.73825 ms
1.35692 1.64597 ms
1.35766 1.56522 ms
1.35771 1.49457 ms
1.35786 1.43275 ms
1.35838 1.50365 ms
1.35858 1.5657 ms
1.35932 1.61998 ms
1.35937 1.66749 ms
1.35949 1.70905 ms
1.36003 1.74542 ms
